JudgeID	HitGroupDataInt	HitDataInt	HitState	HitType	Price	JudgmentState	JudgmentDataInt	JudgmentDataIntName	JudgmentSubmitTime	JudgmentTypeID	JudgmentType	Consensus	TimeSpentOnJudgment	HitGroupID	HitID	lp_id	ImageSource	FinalUrl	ImgUrl	JudgmentID	OtherComment	FinalDecision	Imageclarity	BrightnessContrastColorSaturation	SubjectClarity	TextLogoClarity	CompositionLayout	RealisticPhysicallyPlausible	MainSubjectClarityBadOpotion
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:21:01 PM	0	Normal		52841	338685882	477545884	Random200_0324_53_p1	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_53_p1.jpg	1315478744	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:21:52 PM	0	Normal		50354	338686746	477546748	Random200_0324_24_p1	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_24_p1.jpg	1315481336	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:22:53 PM	0	Normal		58117	338686369	477546371	Random200_0324_185_p3	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_185_p3.jpg	1315480207	N/A	Fair	Good	Good	Fair	GoodOrN/A	Good	GoodOrN/A	Obstruction
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:23:43 PM	0	Normal		49774	338686630	477546632	Random200_0324_64_p5	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_64_p5.jpg	1315480990	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:24:34 PM	0	Normal		50245	338686155	477546157	Random200_0324_133_p1	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_133_p1.jpg	1315479565	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:25:26 PM	0	Normal		51994	338685885	477545887	Random200_0324_92_p1	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_92_p1.jpg	1315478755	N/A	Fair	Good	Fair	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:26:18 PM	0	Normal		50538	338685925	477545927	Random200_0324_146_p2	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_146_p2.jpg	1315478875	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:27:09 PM	0	Normal		50782	338686146	477546148	Random200_0324_73_p3	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_73_p3.jpg	1315479538	N/A	Bad	Good	Good	GoodOrN/A	GoodOrN/A	Good	Bad	
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:28:03 PM	0	Normal		50883	338686287	477546289	Random200_0324_169_p1	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_169_p1.jpg	1315479961	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
1038785	-1	-1	0	Normal		2	0		4/12/2026 8:28:54 PM	0	Normal		50546	338686044	477546046	Random200_0324_166_p2	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_166_p2.jpg	1315479231	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
