JudgeID	HitGroupDataInt	HitDataInt	HitState	HitType	Price	JudgmentState	JudgmentDataInt	JudgmentDataIntName	JudgmentSubmitTime	JudgmentTypeID	JudgmentType	Consensus	TimeSpentOnJudgment	HitGroupID	HitID	lp_id	ImageSource	FinalUrl	ImgUrl	JudgmentID	OtherComment	FinalDecision	Imageclarity	BrightnessContrastColorSaturation	SubjectClarity	TextLogoClarity	CompositionLayout	RealisticPhysicallyPlausible	MainSubjectClarityBadOpotion
3493570	-1	-1	0	Normal		2	0		4/14/2026 11:30:16 PM	0	Normal		53908	338832123	477741172	Random200_0324_35_p2_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_35_p2_model.jpg	1315937551	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:29:55 AM	0	Normal		118151	338831237	477740286	Random200_0324_8_p2_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_8_p2_model.jpg	1315934893	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:31:50 AM	0	Normal		114972	338831344	477740393	Random200_0324_94_p3_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_94_p3_model.jpg	1315935213	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:32:54 AM	0	Normal		63643	338831640	477740689	Random200_0324_107_p5_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_107_p5_model.jpg	1315936101	N/A	Bad	Good	Good	GoodOrN/A	Bad	Good	GoodOrN/A	
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:33:58 AM	0	Normal		61746	338831720	477740769	Random200_0324_118_p1_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_118_p1_model.jpg	1315936341	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:37:12 AM	0	Normal		68945	338831882	477740931	Random200_0324_37_p4_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_37_p4_model.jpg	1315936829	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:38:48 AM	0	Normal		96180	338832042	477741091	Random200_0324_192_p1_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_192_p1_model.jpg	1315937309	N/A	Bad	Good	Good	GoodOrN/A	Bad	Fair	GoodOrN/A	
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:39:44 AM	0	Normal		54251	338832120	477741169	Random200_0324_75_p3_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_75_p3_model.jpg	1315937541	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:40:56 AM	0	Normal		71116	338831809	477740858	Random200_0324_73_p4_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_73_p4_model.jpg	1315936610	N/A	Fair	Good	Good	Fair	GoodOrN/A	Good	GoodOrN/A	Crop
3493564	-1	-1	0	Normal		2	0		4/15/2026 12:41:54 AM	0	Normal		57821	338831884	477740933	Random200_0324_128_p3_model	AdsT2Iv3	None	https://unitorchazureblob.blob.core.windows.net/bic/Random200_0324_128_p3_model.jpg	1315936834	N/A	Good	Good	Good	GoodOrN/A	GoodOrN/A	Good	GoodOrN/A	
